White rating,Black rating,White result,Black result,Victory by checkmate,Victory by time,Victory by resignation,Opposite side castling,Other development
1953,2068,0,1,1,0,0,0,1
2062,1959,1,0,1,0,0,1,0
1948,2073,1,0,0,0,1,0,1
2095,2072,0.5,0.5,0,0,0,0,1
2066,1954,1,0,1,0,0,0,1
1787,2304,1,0,0,0,1,0,1
2403,316,0,1,0,0,1,0,1
2375,308,1,0,0,0,1,0,1
2906,300,0,1,0,0,1,0,1
2100,2057,0,1,1,0,0,0,1
2060,1947,0.5,0.5,0,0,0,0,1
1936,2071,1,0,0,1,0,0,1
2066,1941,1,0,1,0,0,0,1
2109,2057,0,1,1,0,0,0,1
2395,318,0.5,0.5,0,0,0,0,1
2041,2100,0,1,0,1,0,1,0
2666,1411,1,0,0,0,1,0,1
1411,2666,0,1,0,0,1,0,1
1952,2143,0,1,1,0,0,0,1
2139,1956,1,0,0,1,0,0,1
2904,484,0,1,0,0,1,1,0
1228,2855,0,1,0,0,1,0,1
2561,1719,1,0,0,0,1,1,0
1506,2561,0,1,0,0,0,0,1
2852,2627,1,0,1,0,0,0,1
2660,486,0,1,0,0,1,1,0
2573,381,1,0,0,0,1,0,1
2648,496,0,1,0,0,1,0,1
2729,309,0,1,0,0,1,0,1
2455,293,0,1,0,0,1,0,1
1752,2852,0,1,1,0,0,0,1
1987,293,1,0,1,0,0,0,1
2399,391,1,0,0,0,1,0,1
2648,1858,1,0,0,0,1,0,1
1990,2034,0,1,1,0,0,1,0
2852,1634,1,0,0,0,1,1,0
1991,406,1,0,1,0,0,1,0
1990,2037,0.5,0.5,0,0,0,0,1
2046,1981,0,1,0,0,1,1,0
1979,2048,0.5,0.5,0,0,0,0,1
2058,1969,0,1,0,0,1,1,0
1967,2060,0.5,0.5,0,1,0,0,1
2071,1956,0,1,1,0,0,1,0
1945,2082,1,0,0,0,1,0,1
2093,1934,0,1,0,1,0,0,1
1922,2105,1,0,0,0,1,1,0
2101,1926,1,0,1,0,0,0,1
2851,2282,1,0,0,0,1,0,1
2288,2850,0,1,0,0,1,0,1
2453,149,0,1,1,0,0,0,1
2097,1931,1,0,1,0,0,0,1
